Date,Symbol,Order,Shares
2006-02-23,IBM,BUY,500
2006-03-09,IBM,SELL,500
2006-06-12,IBM,BUY,500
2006-06-26,IBM,SELL,500
2006-07-14,IBM,BUY,500
2006-07-28,IBM,SELL,500
2006-08-17,IBM,SELL,500
2006-08-31,IBM,BUY,500
2006-10-13,IBM,SELL,500
2006-10-27,IBM,BUY,500
2006-10-27,IBM,SELL,500
2006-11-10,IBM,BUY,500
2007-01-09,IBM,SELL,500
2007-01-24,IBM,BUY,500
2007-02-27,IBM,BUY,500
2007-03-13,IBM,SELL,500
2007-04-24,IBM,SELL,500
2007-05-08,IBM,BUY,500
2007-05-08,IBM,SELL,500
2007-05-22,IBM,BUY,500
2007-06-06,IBM,BUY,500
2007-06-20,IBM,SELL,500
2007-06-21,IBM,SELL,500
2007-07-06,IBM,BUY,500
2007-07-06,IBM,SELL,500
2007-07-20,IBM,BUY,500
2007-07-20,IBM,SELL,500
2007-08-03,IBM,BUY,500
2007-08-03,IBM,BUY,500
2007-08-17,IBM,SELL,500
2007-08-20,IBM,BUY,500
2007-09-04,IBM,SELL,500
2007-09-04,IBM,SELL,500
2007-09-18,IBM,BUY,500
2007-10-18,IBM,BUY,500
2007-11-01,IBM,SELL,500
2007-11-07,IBM,BUY,500
2007-11-21,IBM,SELL,500
2007-11-21,IBM,BUY,500
2007-12-06,IBM,SELL,500
2007-12-06,IBM,SELL,500
2007-12-20,IBM,BUY,500
2007-12-21,IBM,SELL,500
2008-01-08,IBM,BUY,500
2008-01-08,IBM,BUY,500
2008-01-23,IBM,SELL,500
2008-01-23,IBM,SELL,500
2008-02-06,IBM,BUY,500
2008-02-06,IBM,BUY,500
2008-02-21,IBM,SELL,500
2008-02-21,IBM,SELL,500
2008-03-06,IBM,BUY,500
2008-03-12,IBM,SELL,500
2008-03-27,IBM,BUY,500
2008-03-28,IBM,BUY,500
2008-04-11,IBM,SELL,500
2008-04-16,IBM,SELL,500
2008-04-30,IBM,BUY,500
2008-04-30,IBM,BUY,500
2008-05-14,IBM,SELL,500
2008-05-14,IBM,SELL,500
2008-05-29,IBM,BUY,500
2008-05-29,IBM,SELL,500
2008-06-12,IBM,BUY,500
2008-06-12,IBM,BUY,500
2008-06-26,IBM,SELL,500
2008-06-26,IBM,BUY,500
2008-07-11,IBM,SELL,500
2008-07-11,IBM,SELL,500
2008-07-25,IBM,BUY,500
2008-07-25,IBM,SELL,500
2008-08-08,IBM,BUY,500
2008-08-12,IBM,BUY,500
2008-08-26,IBM,SELL,500
2008-08-26,IBM,BUY,500
2008-09-10,IBM,SELL,500
2008-09-10,IBM,BUY,500
2008-09-24,IBM,SELL,500
2008-09-25,IBM,SELL,500
2008-10-09,IBM,BUY,500
2008-10-09,IBM,BUY,500
2008-10-23,IBM,SELL,500
2008-10-23,IBM,BUY,500
2008-11-06,IBM,SELL,500
2008-11-06,IBM,BUY,500
2008-11-20,IBM,SELL,500
2008-11-20,IBM,BUY,500
2008-12-05,IBM,SELL,500
2008-12-05,IBM,SELL,500
2008-12-19,IBM,BUY,500
2008-12-22,IBM,BUY,500
2009-01-07,IBM,SELL,500
2009-01-07,IBM,SELL,500
2009-01-22,IBM,BUY,500
2009-01-22,IBM,SELL,500
2009-02-05,IBM,BUY,500
2009-02-06,IBM,SELL,500
2009-02-23,IBM,BUY,500
2009-02-23,IBM,BUY,500
2009-03-09,IBM,SELL,500
2009-03-09,IBM,BUY,500
2009-03-23,IBM,SELL,500
2009-03-23,IBM,SELL,500
2009-04-06,IBM,BUY,500
2009-04-06,IBM,SELL,500
2009-04-21,IBM,BUY,500
2009-04-29,IBM,SELL,500
2009-05-13,IBM,BUY,500
2009-05-14,IBM,BUY,500
2009-05-29,IBM,SELL,500
2009-06-01,IBM,SELL,500
2009-06-15,IBM,BUY,500
2009-06-22,IBM,BUY,500
2009-07-07,IBM,SELL,500
2009-07-07,IBM,BUY,500
2009-07-21,IBM,SELL,500
2009-07-21,IBM,SELL,500
2009-08-04,IBM,BUY,500
2009-09-02,IBM,BUY,500
2009-09-17,IBM,SELL,500
2009-09-17,IBM,SELL,500
2009-10-01,IBM,BUY,500
2009-10-01,IBM,BUY,500
2009-10-15,IBM,SELL,500
2009-10-15,IBM,SELL,500
2009-10-29,IBM,BUY,500
2009-11-09,IBM,SELL,500
2009-11-23,IBM,BUY,500
2009-12-11,IBM,SELL,500
2009-12-28,IBM,BUY,500
